Well_ID,Depth_m,Permeability_mD,API_Gravity,Init_Press_psi,CSS_Cycle,Steam_Temp_C,Steam_Quality_pct,Steam_Vol_bbl,Soak_Days,Prod_Temp_C,Oil_Viscosity_cP,VFD_SPM,Stroke_Len_in,PPRL_lbs,MPRL_lbs,Oil_Rate_bpd,Failure_Rod_Float,Failure_Pump_Unset
BGH-137,1201.9,1594.8,15.4,1089.8,4,295.5,73.3,13416.3,6,59.5,6840.7,3.5,54,15346.2,4771.2,853.2,1,0
BGH-101,1274.9,1508.7,14.6,1028.2,5,312.8,76.4,16232.1,6,80.9,2912.1,3.4,54,15377.2,5107.8,1007.1,0,0
BGH-120,1174.8,1678.0,15.5,1076.8,5,282.2,73.5,18775.7,11,91.3,1993.9,6.2,100,15879.1,4779.5,1467.3,0,0
BGH-132,1219.1,1367.5,15.2,1206.6,2,250.6,80.0,15303.2,10,103.8,1300.1,3.6,86,15640.0,4784.5,505.0,0,0
BGH-111,1239.6,1640.2,15.0,1105.6,3,294.1,77.5,16295.7,13,149.9,334.1,5.0,74,15328.9,4867.5,1127.5,0,0
BGH-121,1274.5,1052.3,15.4,1067.9,5,297.3,81.8,17490.9,7,68.0,4810.8,6.3,74,15966.5,4884.1,1820.4,0,0
BGH-143,1174.1,1469.1,15.7,1125.1,4,286.5,74.7,18360.3,12,112.0,997.0,7.2,64,16146.2,4907.9,1746.3,0,0
BGH-124,1169.1,1376.6,16.9,1077.3,5,298.3,77.6,13641.5,9,122.9,712.6,6.9,64,15877.5,4998.3,1287.1,0,0
BGH-148,1146.9,1409.0,16.0,1074.5,3,272.7,73.9,15827.3,9,46.5,12152.2,6.9,86,15507.7,4771.5,1311.0,1,0
BGH-126,1311.8,1479.4,16.2,1067.2,1,260.4,84.0,17550.3,9,125.1,667.4,4.6,74,15384.1,4886.2,1063.2,0,0
BGH-141,1269.2,1727.7,16.4,1142.7,4,296.5,77.8,18108.2,12,63.9,5688.5,7.2,64,14907.0,5142.5,2082.7,1,0
BGH-127,1197.9,1269.2,14.9,1109.7,1,267.2,72.6,14152.6,11,49.1,10792.8,6.1,74,15515.9,4675.0,1054.1,1,0
BGH-115,1296.6,1062.4,15.2,1171.1,1,281.9,74.1,13659.7,11,172.8,188.9,7.0,74,15734.1,4941.6,1392.5,0,0
BGH-114,1194.9,1292.4,14.8,1115.3,3,284.4,71.2,14690.0,8,175.2,178.5,3.4,74,15842.2,4698.2,699.2,0,0
BGH-146,1236.2,1704.5,15.0,1176.4,5,283.4,70.4,14358.5,10,153.2,306.6,3.2,64,15008.5,5075.9,667.2,0,0
BGH-143,1200.5,1171.0,15.2,1132.5,1,291.9,77.9,14442.7,5,82.6,2733.1,4.9,64,15189.2,4885.1,1239.4,0,0
BGH-102,1219.9,1385.6,14.9,1087.0,2,252.1,75.1,15823.9,10,53.7,8790.0,6.7,86,16551.6,4700.8,979.9,0,0
BGH-136,1214.6,1667.9,15.7,1093.2,5,319.3,84.5,13918.4,9,135.8,490.1,4.8,54,16043.0,4625.2,1138.1,0,0
BGH-106,1178.8,1488.3,15.8,1191.4,4,300.1,72.6,18118.3,5,101.6,1398.8,7.0,64,15557.7,4891.5,1997.3,0,0
BGH-120,1254.6,1725.7,14.5,1165.2,5,279.8,81.9,14190.7,5,57.1,7580.4,4.1,100,15785.3,4898.2,774.4,0,0
BGH-108,1235.8,1093.0,15.3,1177.3,3,263.4,74.7,13797.7,7,109.3,1086.7,3.2,54,14932.8,5039.8,602.9,0,0
BGH-138,1251.4,1435.7,15.3,1049.6,3,255.6,73.4,12660.3,8,44.8,13146.1,6.4,74,15812.0,4653.1,1077.0,1,0
BGH-117,1216.0,1767.4,14.3,1006.2,4,297.1,84.5,17514.5,5,167.3,215.4,5.8,86,15451.3,5185.0,1887.0,0,0
BGH-103,1154.7,1274.6,14.9,1057.8,4,272.2,82.0,12413.2,11,76.2,3481.6,5.0,100,15199.5,4730.9,633.1,0,0
BGH-124,1285.5,1707.0,16.2,1108.3,4,266.1,79.5,15914.7,6,132.8,533.5,6.8,100,16058.0,4629.3,1222.4,0,0
BGH-113,1186.9,1452.9,16.2,1067.7,3,276.6,80.5,16389.1,8,83.6,2633.8,6.7,54,15576.0,4988.0,1369.7,0,0
BGH-149,1218.2,1586.8,14.2,1101.4,5,291.5,84.9,9167.1,13,112.8,972.1,4.5,86,16387.9,4802.1,538.5,0,0
BGH-108,1231.8,1752.9,15.9,1077.4,1,297.0,78.9,12382.6,12,116.5,865.9,6.8,54,15364.5,5182.3,1284.9,0,0
BGH-125,1217.9,1586.0,14.3,1011.8,1,295.2,71.5,14244.3,6,65.9,5239.3,4.6,64,14523.2,4636.9,1233.2,0,0
BGH-101,1245.8,1381.8,15.2,1121.4,2,310.4,71.0,18789.1,13,175.7,176.4,5.8,74,15537.7,4863.9,1880.0,0,0
BGH-119,1253.7,1612.4,15.4,1101.5,3,265.3,80.0,14244.8,5,148.5,346.7,3.9,86,15780.0,5191.1,764.2,0,0
BGH-127,1188.8,1367.6,16.1,1166.5,4,294.6,79.9,13993.1,10,171.5,194.8,4.2,64,15257.6,4938.5,929.4,0,0
BGH-146,1281.3,1554.7,15.4,1108.0,5,257.1,81.2,13500.3,7,165.3,226.2,5.0,74,15862.9,4694.1,790.4,0,0
BGH-106,1186.7,1249.6,14.7,1139.1,3,288.4,71.6,13469.1,5,123.7,695.7,4.4,74,15818.5,4928.5,917.4,0,0
BGH-143,1216.8,1505.8,14.6,1059.0,2,290.9,84.2,13729.7,12,169.1,206.3,3.6,64,15167.8,4915.9,783.7,0,0
BGH-107,1180.6,1737.9,15.6,1117.4,1,265.1,78.3,13655.8,10,52.4,9309.5,5.2,86,16979.7,5081.5,816.2,1,0
BGH-146,1166.3,1440.2,15.0,1140.4,5,277.4,79.7,13570.3,8,67.4,4929.0,5.3,100,15495.4,5224.5,922.1,0,0
BGH-134,1252.2,1718.7,15.2,1127.8,1,307.9,70.5,13568.0,7,46.3,12264.6,3.7,54,16237.0,4898.3,946.0,1,0
BGH-113,1356.1,2118.7,16.3,1088.7,5,260.4,84.4,14237.7,6,85.5,2456.2,3.8,86,15974.5,4851.3,624.7,0,0
BGH-116,1181.9,1494.2,15.8,1117.5,4,280.4,78.4,16901.6,9,94.4,1788.4,3.1,100,16153.3,4854.0,773.2,0,0
BGH-135,1260.8,1622.8,16.8,1131.1,5,315.3,78.5,12757.7,12,78.0,3249.6,3.1,100,15631.3,5000.0,742.5,0,0
BGH-149,1183.7,1595.4,14.7,1160.1,4,285.3,84.2,13706.1,12,156.0,285.3,4.6,100,15737.1,5005.1,853.2,0,0
BGH-139,1199.5,1545.0,14.9,1071.9,3,300.8,83.9,13960.6,7,89.9,2095.5,3.7,54,14936.7,5000.5,903.6,0,0
BGH-103,1287.9,1657.6,15.6,1044.2,1,307.9,73.3,14999.9,13,79.3,3093.0,7.1,54,15391.6,4611.9,1875.0,0,0
BGH-101,1146.3,1450.4,17.0,1058.4,5,264.3,84.0,13474.3,9,116.0,879.4,3.9,54,15009.1,4690.8,645.6,0,0
BGH-105,1133.1,1367.5,14.9,1107.3,5,265.3,81.0,19150.8,11,59.7,6782.9,3.3,100,15689.8,5158.8,620.8,0,0
BGH-141,1195.6,1194.7,15.5,1100.2,2,303.1,70.3,16166.4,13,152.3,313.8,4.8,64,15997.0,4656.1,1313.0,0,0
BGH-103,1233.2,1431.4,16.6,1131.4,1,302.7,73.6,16948.8,11,50.4,10178.5,3.9,54,15420.0,4843.2,1248.0,1,0
BGH-128,1223.2,1680.3,15.5,1141.5,3,254.2,76.2,15477.2,7,178.2,166.5,3.3,100,15780.9,5287.4,556.4,0,0
BGH-117,1218.0,1312.0,16.3,1005.7,4,272.6,78.7,17808.7,6,148.1,350.4,6.4,86,16296.8,4886.6,1612.1,0,0
BGH-125,1201.7,1549.3,17.1,1075.9,3,277.9,80.5,12713.7,11,67.8,4849.8,5.5,100,15263.5,4913.6,1057.9,0,0
BGH-143,1239.3,1475.4,15.7,1110.6,2,308.0,73.2,13885.1,12,40.8,15870.5,3.3,54,15647.9,4856.9,798.3,1,0
BGH-133,1054.3,1375.9,15.9,1155.8,3,279.5,82.6,13366.9,8,154.2,298.8,5.1,54,16209.2,4971.5,934.7,0,0
BGH-109,1162.5,1129.4,16.1,1097.3,4,314.8,82.7,14657.2,5,139.0,448.2,3.2,54,15715.0,5142.8,897.4,0,0
BGH-135,1195.3,1772.6,14.8,1168.3,1,319.8,79.5,18167.4,10,142.1,411.6,4.6,64,16114.2,5008.5,1598.9,0,0
BGH-113,1235.2,1603.4,14.3,1127.6,2,304.7,83.8,19398.7,13,148.0,351.3,4.6,74,16028.4,4880.7,1628.4,0,0
BGH-130,1274.5,2033.1,15.6,1119.0,5,296.6,82.2,16909.3,8,50.4,10178.5,6.7,64,15137.9,4813.3,1941.0,1,0
BGH-147,1155.7,1715.9,15.0,1094.5,5,277.4,73.3,14804.1,7,90.2,2073.2,6.3,86,15515.0,4853.4,1258.1,0,0
BGH-114,1272.9,1768.1,16.3,1098.8,1,254.7,82.0,17240.1,10,56.2,7881.0,7.0,54,16391.6,4855.1,1119.1,1,0
BGH-107,1177.4,1150.1,15.8,1116.5,3,290.1,84.3,17966.3,10,160.8,252.8,3.6,74,15459.3,4492.4,866.2,0,0
BGH-113,1193.5,1146.6,16.3,1090.2,5,275.3,72.1,17353.0,8,127.3,625.5,5.4,86,14504.7,4966.6,1269.7,0,0
BGH-122,1229.1,1508.5,14.5,1155.6,2,274.6,84.7,14732.7,11,86.3,2385.6,3.1,100,14188.7,5096.7,556.7,0,0
BGH-139,1189.8,1270.4,16.3,1144.0,4,298.1,70.4,14785.9,6,48.9,10891.0,6.7,74,14548.1,4843.2,1817.7,1,0
BGH-120,1255.5,1363.7,13.7,1159.9,3,282.5,77.8,13683.5,5,83.5,2643.5,4.6,64,15905.0,4779.8,1026.8,0,0
BGH-115,1179.8,2005.3,14.6,1048.0,4,302.6,81.6,14509.6,10,85.5,2456.2,3.3,54,15496.2,4760.3,775.6,0,0
BGH-144,1180.5,1738.0,16.0,1046.4,3,277.9,81.9,13401.4,7,142.1,411.6,4.5,74,15377.0,4503.7,796.6,0,0
BGH-117,1252.6,1312.9,15.1,1124.4,2,260.6,81.0,14871.2,7,129.3,590.0,4.3,86,15250.6,4893.0,761.6,0,0
BGH-146,1161.8,1026.8,15.2,1096.0,4,282.3,77.9,14953.7,5,164.2,232.3,6.4,64,16047.1,4928.6,1447.9,0,0
BGH-123,1212.4,1296.0,15.6,1112.9,2,316.6,79.8,13272.8,6,106.1,1205.4,3.6,86,15615.8,5107.6,914.2,0,0
BGH-125,1117.0,1388.6,16.6,1044.1,4,306.1,80.5,20370.8,7,56.7,7712.4,5.5,86,14665.2,5414.5,2143.6,1,0
BGH-124,1291.0,1435.7,14.0,1027.1,3,264.4,77.4,15592.2,5,139.9,437.2,6.6,54,15264.2,4870.8,1384.4,0,0
BGH-144,1260.3,1244.2,16.5,1111.6,2,277.4,78.9,17584.9,12,146.5,365.6,6.3,74,15541.9,5067.3,1446.3,0,0
BGH-140,1337.5,1726.0,16.5,1062.0,3,314.9,82.7,17401.2,10,118.6,811.7,7.2,86,15307.6,4564.5,2397.1,0,0
BGH-128,1266.9,1357.7,15.1,1135.7,3,258.7,74.7,18886.0,13,147.9,352.2,3.0,64,15253.9,4825.0,630.0,0,0
BGH-114,1143.5,1629.7,14.9,1069.2,4,267.8,77.8,13186.0,5,109.1,1093.7,4.6,86,15261.6,5088.5,736.1,0,0
BGH-144,1233.4,1510.8,15.4,1055.6,4,268.4,70.1,13909.5,8,113.2,959.9,4.7,86,15200.5,4908.8,766.7,0,0
BGH-100,1154.1,1687.7,14.9,986.7,2,290.0,80.3,11371.9,8,99.9,1481.1,3.1,64,15479.7,5166.7,566.2,0,0
BGH-124,1278.9,1452.4,15.8,1162.4,5,278.8,72.9,11764.8,9,43.6,13903.3,6.7,100,15981.6,5055.0,963.6,1,0
BGH-106,1144.9,1315.0,15.9,1134.9,1,255.6,77.2,12980.5,6,55.1,8267.1,6.1,86,14770.5,5187.9,946.0,1,0
BGH-108,1142.5,1380.3,14.3,1025.2,4,294.0,73.2,14696.3,5,44.4,13393.2,5.4,64,15210.2,5040.9,1188.6,1,0
BGH-123,1119.5,1383.1,14.8,1000.1,3,256.9,70.4,14811.7,13,129.1,593.5,4.8,54,14818.8,4818.2,669.2,0,0
BGH-100,1175.6,1912.9,14.6,1070.1,1,292.4,77.2,21350.1,9,84.0,2595.2,7.0,74,16415.0,5048.8,2444.7,0,0
BGH-143,1165.5,1515.3,15.7,1147.4,2,285.5,76.4,16006.5,12,111.2,1022.6,4.2,64,15466.6,4707.7,890.8,0,0
BGH-107,1136.9,1500.9,16.2,1073.6,1,284.6,76.4,16940.5,7,167.1,216.5,4.5,64,15196.3,5347.0,1329.6,0,0
BGH-123,1299.5,1676.4,14.6,1089.6,1,254.7,73.1,15284.1,8,74.9,3661.0,7.3,74,16140.6,4717.3,1316.8,0,0
BGH-110,1226.5,1500.0,16.2,1149.5,5,294.7,84.2,12374.5,8,97.5,1607.0,3.3,64,15870.4,4931.6,623.1,0,0
BGH-116,1220.6,1724.3,14.8,1050.6,5,280.2,70.1,15593.4,10,145.8,372.5,6.5,100,14855.5,4899.5,1228.1,0,0
BGH-107,1279.5,1425.6,16.1,1065.9,1,278.8,83.4,11771.6,8,72.0,4100.9,6.2,54,15289.3,4994.2,958.6,0,0
BGH-134,1212.8,1405.3,15.3,1111.0,5,291.8,81.1,14639.1,9,50.8,9997.5,7.1,100,15765.8,5094.1,1444.2,0,0
BGH-134,1162.6,1303.9,15.1,1086.0,5,292.4,72.6,16296.0,9,80.6,2945.1,3.4,86,14751.3,4774.3,818.8,0,0
BGH-132,1115.0,1870.0,16.4,1056.1,1,251.1,77.1,13825.5,12,62.6,6004.1,7.4,54,15784.7,4539.5,1011.6,0,0
BGH-104,1159.7,1486.0,16.9,1135.4,4,258.8,84.8,15385.8,13,170.2,200.9,3.1,86,14619.6,4727.2,430.6,0,0
BGH-141,1275.3,1265.2,13.9,1125.9,5,266.6,79.7,13796.0,12,153.1,307.4,4.5,74,15110.4,4924.8,738.2,0,0
BGH-138,1137.2,1539.4,16.0,1141.6,1,297.5,71.9,12789.1,9,128.7,600.4,3.4,64,14863.8,5079.5,811.8,0,0
BGH-140,1217.7,1370.0,15.6,1092.3,4,290.4,76.9,15975.7,10,162.0,245.3,3.2,64,16152.9,5054.8,719.0,0,0
BGH-127,1251.7,1422.1,16.0,1012.0,5,303.0,77.0,17089.1,8,152.5,312.2,7.3,54,15944.8,4942.6,2169.6,0,0
BGH-106,1214.3,1562.2,14.3,1100.5,1,301.8,82.0,17084.1,6,66.1,5196.7,6.2,64,14805.3,4965.8,2026.6,0,0
BGH-108,1219.9,1804.2,14.6,1041.4,5,309.7,83.7,14517.6,9,165.0,227.8,5.3,64,15171.9,5130.6,1375.6,0,0
BGH-107,1232.8,1520.3,15.0,998.7,4,276.4,71.2,10648.4,5,115.5,893.2,3.5,86,15536.4,5094.5,517.2,0,0
BGH-111,1219.0,1357.8,15.7,1086.3,1,274.2,74.7,15176.6,5,153.0,308.2,5.4,100,15225.2,4593.3,1074.6,0,0
BGH-133,1280.5,1399.0,14.9,1105.1,4,308.2,74.5,17538.7,5,165.5,225.1,4.4,64,15010.0,5022.8,1474.6,0,0
BGH-132,1148.0,1631.3,15.2,1179.9,3,266.6,84.9,12370.5,8,84.5,2547.9,4.2,86,16363.5,5011.4,597.2,0,0
BGH-147,1212.0,1108.3,16.2,1039.7,2,282.3,78.4,18561.8,9,55.4,8159.7,5.8,100,15013.4,4730.5,1491.8,1,0
BGH-122,1109.1,1291.5,17.1,1133.9,3,263.6,83.2,10882.1,8,71.9,4117.1,6.6,64,16900.3,4988.5,826.8,0,0
BGH-123,1096.3,1542.5,16.1,1020.1,5,314.0,76.4,15794.0,10,99.8,1486.1,5.0,54,14804.9,4904.1,1387.1,0,0
BGH-136,1195.9,1158.7,16.2,1163.5,4,278.5,80.8,16659.5,6,154.5,296.5,5.2,54,14515.5,5032.8,1182.9,0,0
BGH-134,1227.2,1437.5,15.4,1065.0,1,264.9,74.3,17936.4,9,160.5,254.7,5.9,54,16601.9,4584.0,1187.7,0,0
BGH-143,1281.5,1404.3,14.8,1083.3,4,298.4,83.7,15918.0,10,41.0,15720.0,3.6,74,15538.7,4707.4,794.1,1,0
BGH-139,1321.0,1675.5,15.2,1083.9,5,267.1,76.8,14349.5,9,111.5,1012.9,6.7,54,15759.4,5033.4,1154.2,0,1
BGH-121,1266.0,1449.9,15.5,1137.9,1,316.0,82.1,15336.2,10,98.4,1558.4,6.8,64,15726.4,5055.4,1995.3,0,0
BGH-126,1236.4,1737.3,14.6,1027.5,3,275.7,73.8,13635.3,12,71.1,4249.5,5.4,64,14933.9,4450.9,910.1,0,0
BGH-134,1208.0,1515.8,16.2,1091.1,4,296.5,80.4,11020.6,6,56.8,7679.2,3.8,54,15087.8,4891.7,652.0,1,0
BGH-100,1123.4,1855.3,16.7,1067.9,2,274.2,76.1,14516.0,11,87.3,2300.6,5.3,54,16056.8,4402.8,1054.9,0,0
BGH-134,1192.7,1222.5,15.6,1209.9,5,306.5,70.5,15982.3,10,172.0,192.5,3.5,86,14931.4,5344.8,1068.9,0,0
BGH-136,1264.5,1823.4,16.4,1045.8,5,312.8,76.2,17051.5,12,85.2,2483.3,6.4,100,15170.4,4789.5,2004.8,0,0
BGH-146,1244.9,1417.8,16.5,970.9,4,305.2,78.3,14028.4,13,112.6,978.2,4.4,54,15955.2,4864.9,1072.2,0,0
BGH-113,1135.7,1794.8,14.7,1184.7,3,309.4,72.3,17954.3,12,138.4,455.7,4.4,86,15387.7,4772.0,1257.9,0,0
BGH-102,1230.7,1737.0,14.1,1124.6,3,257.1,72.8,14664.1,9,90.9,2022.3,7.3,64,16242.9,4719.8,1099.1,0,0
BGH-100,1226.4,929.6,15.1,1060.6,2,314.7,77.0,15957.1,8,176.0,175.2,4.9,54,14672.8,4806.2,1496.0,0,0
BGH-104,1217.5,1595.8,15.6,1098.4,2,293.7,75.1,16491.9,7,174.7,180.6,6.6,86,15636.7,5111.9,1694.5,0,0
BGH-125,1198.6,1699.5,14.5,1060.0,4,310.8,76.6,15106.8,13,75.2,3618.7,5.9,86,16245.3,4856.3,1431.4,0,0
BGH-113,1233.3,1765.7,16.6,1002.2,1,297.9,76.9,14818.8,11,109.6,1076.3,4.4,100,14487.9,4808.7,1103.3,0,0
BGH-138,1234.9,1264.7,17.1,1091.8,3,264.1,72.1,18114.3,5,82.1,2784.4,3.6,64,14919.0,5005.0,864.1,0,0
BGH-126,1167.9,1618.1,15.6,1091.4,1,292.7,72.7,11602.0,7,79.9,3023.7,6.6,100,16192.5,4493.1,1295.7,0,0
BGH-108,1222.8,1539.0,14.7,1117.0,1,256.4,82.7,15084.8,7,45.2,12904.2,6.4,100,15999.4,4714.2,1148.0,1,0
BGH-114,1190.5,1586.3,15.9,1051.4,4,298.7,72.4,11331.1,10,125.3,663.4,3.8,100,14951.6,4882.7,687.8,0,0
BGH-114,1125.6,1699.8,14.7,1061.3,2,278.6,80.0,11405.0,6,110.4,1049.0,4.1,64,15374.3,4688.0,685.0,0,0
BGH-125,1171.9,1731.3,16.4,1081.2,1,260.6,76.3,14893.8,8,47.2,11768.0,6.4,54,15670.3,4944.0,1114.4,1,0
BGH-141,1121.8,1368.9,15.3,1051.0,4,318.5,84.5,13948.2,6,79.0,3128.4,7.4,100,14457.4,4871.0,1974.8,0,1
BGH-112,1249.0,1553.1,16.1,1156.8,2,313.1,71.0,19157.9,9,167.2,215.9,6.8,74,15570.8,5006.5,2459.5,0,0
BGH-131,1217.8,1508.2,16.2,1142.5,1,312.5,82.5,14493.2,8,73.5,3866.2,6.1,64,14698.8,5013.8,1691.5,0,0
BGH-138,1182.2,1452.1,15.9,1074.2,1,305.2,77.4,17270.3,8,60.3,6612.7,7.1,86,15692.9,5176.1,2346.0,1,0
BGH-148,1271.0,1471.2,16.9,1126.7,2,298.4,70.1,15103.3,8,108.5,1115.0,4.3,86,14577.1,4731.4,1121.7,0,0
BGH-131,1203.4,1539.2,15.6,1038.1,2,295.9,74.0,12596.8,8,178.0,167.3,3.0,64,15701.3,5137.1,629.5,0,0
BGH-103,1128.4,1379.6,15.1,1076.9,5,257.4,76.1,11474.7,9,73.9,3806.3,4.4,86,15550.9,4773.9,554.4,0,0
BGH-129,1178.0,1676.6,13.8,1173.2,5,313.0,74.7,12272.5,6,134.1,514.1,7.4,64,14995.7,4903.2,1698.6,0,1
BGH-136,1281.6,1753.9,13.7,1132.3,4,311.7,75.4,15655.8,10,146.6,364.6,7.0,54,14968.2,4979.9,2062.6,0,0
BGH-122,1166.5,1335.9,16.0,1114.5,4,302.3,83.8,18194.2,5,73.3,3896.6,3.2,64,14901.7,5165.1,1113.9,0,0
BGH-138,1213.8,1763.7,15.4,1082.1,3,314.9,75.4,13172.7,6,142.0,412.8,5.3,54,15364.6,4933.5,1335.8,0,0
BGH-144,1237.2,1336.3,14.8,1097.9,5,288.7,76.3,16675.7,7,91.5,1979.8,3.4,64,15234.4,5111.7,744.7,0,0
BGH-114,1229.5,1679.6,14.6,1026.6,2,281.3,81.4,14636.6,6,128.5,603.9,6.6,100,15795.1,5157.5,1434.0,0,0
BGH-142,1322.5,1763.3,16.1,1083.8,5,317.8,81.9,12870.3,7,128.7,600.4,4.7,74,15469.9,4850.9,1121.6,0,0
BGH-128,1141.2,1481.1,14.7,1118.8,4,282.5,71.3,15709.2,12,115.0,907.2,7.1,54,16373.3,4761.1,1302.0,0,0
BGH-135,1146.2,1337.9,16.8,1098.7,4,294.9,80.6,18182.9,7,52.6,9227.3,3.2,74,16329.5,4781.8,1017.8,1,0
BGH-112,1142.0,1382.3,17.4,1098.7,4,276.1,77.2,14849.1,5,156.9,278.8,6.3,86,15535.0,4762.8,1346.7,0,0
BGH-131,1185.2,1572.4,14.8,1067.3,2,294.5,72.0,16659.1,12,84.9,2510.8,4.8,54,15477.7,4933.6,1015.6,0,0
BGH-106,1255.0,1892.9,16.0,1054.6,1,300.4,74.0,15617.3,12,66.1,5196.7,4.2,86,15566.5,4895.7,1097.5,1,0
BGH-121,1148.4,1161.5,15.9,1050.0,4,293.7,70.7,15620.7,11,45.7,12608.9,5.3,100,15174.3,4849.3,1159.0,1,0
BGH-127,1255.7,1520.0,14.7,1087.4,5,286.0,75.4,13393.8,8,122.7,716.9,5.2,100,14822.7,4959.0,1048.9,0,0
BGH-101,1201.8,1482.4,14.7,1136.7,1,271.0,73.8,15981.6,9,134.9,502.6,4.6,54,15142.1,4847.8,928.2,0,0
BGH-141,1144.6,1408.7,15.4,1057.1,5,295.1,75.7,12076.5,10,42.3,14780.0,5.9,54,15571.5,4601.8,1079.6,1,0
BGH-144,1112.4,1483.8,14.6,1102.0,4,313.6,78.7,15722.7,10,111.7,1006.5,6.0,74,15599.5,4728.8,1756.7,0,0
BGH-105,1123.6,1391.6,16.4,1100.8,2,250.5,81.0,17745.1,11,71.7,4149.7,3.3,86,16541.8,4970.8,535.8,0,0
BGH-127,1166.7,1748.6,15.3,1146.5,1,259.4,79.1,18607.9,8,130.3,573.2,5.7,74,14957.7,4905.0,1175.5,0,0
BGH-127,1191.5,1768.5,14.6,1100.7,1,258.4,80.2,12915.5,12,64.4,5572.2,6.2,54,15865.1,4684.9,1012.8,0,0
BGH-143,1267.3,1517.6,15.4,1025.6,4,314.6,83.0,15883.5,6,136.7,477.8,3.3,74,15091.3,4821.4,1002.8,0,0
BGH-143,1240.0,1471.8,15.9,1206.2,4,296.4,83.1,13589.4,13,94.1,1807.1,6.0,54,16180.1,4737.4,1182.3,0,0
BGH-119,1158.1,1401.4,14.9,1148.6,4,316.6,82.9,15281.0,10,171.1,196.6,6.6,64,14903.3,4832.4,1929.6,0,0
BGH-129,1220.4,1518.1,13.9,1124.2,3,290.8,72.3,18844.3,5,59.3,6899.1,6.7,86,15893.8,5070.8,2376.2,1,1
BGH-110,1282.6,1869.6,15.6,1071.2,2,282.3,73.8,16755.5,5,87.7,2267.6,3.2,100,14986.0,5263.7,940.1,0,0
